id_item,id_venda,id_roda,qtde,valor_unit
1,1,100,2,380
2,1,104,1,420
3,2,107,1,160
4,2,102,1,780
5,3,105,2,260
6,4,100,1,400
7,4,103,2,140
8,5,101,1,190
9,5,107,2,150
10,6,102,1,820
11,7,100,2,390
12,7,104,1,450
13,8,105,1,270
14,9,101,2,180
15,10,107,1,155
16,11,100,1,410
17,11,102,1,800
18,12,103,2,145
19,12,101,1,200
20,13,105,1,275
21,14,100,2,395
22,14,104,1,430
23,15,102,1,780
24,15,101,1,185
25,16,107,2,150
26,17,105,1,260
27,17,103,2,140
28,18,102,1,850
29,19,101,1,195
30,19,104,1,420
31,20,100,2,380
32,20,107,1,165
33,21,102,1,820
34,22,105,2,270
35,23,103,1,150
36,24,104,1,450
37,24,100,1,390
38,25,101,1,200
39,25,107,1,155
40,26,102,1,780
41,27,103,2,135
42,27,105,1,260
43,28,100,1,410
44,28,104,1,435
45,29,101,2,185
46,30,107,1,160
47,30,102,1,810
48,31,100,1,420
49,31,105,1,270
50,32,103,2,140
51,33,101,1,200
52,33,107,2,155
53,34,102,1,820
54,34,104,1,430
55,35,100,1,395
56,36,105,1,265
57,36,103,2,140
58,37,101,1,190
59,37,107,1,150
60,38,102,1,850
61,39,104,1,440
62,39,100,1,400
63,40,103,2,145
64,40,105,1,275
65,41,102,1,780
66,42,101,2,185
67,42,107,1,160
68,43,100,2,410
69,43,104,1,435
70,44,103,2,150
71,45,105,1,260
72,45,101,1,190
73,46,102,1,890
74,46,107,1,165
75,47,100,1,395
76,47,104,1,445
77,48,103,2,140
78,48,105,1,270
79,49,102,1,830
80,49,101,1,200
81,50,107,1,155
82,50,100,1,420
