id_venda,id_cliente,data_venda,canal_venda,status
1,1,2025-01-03,WhatsApp,FECHADA
2,3,2025-01-04,E-mail,FECHADA
3,7,2025-01-06,Telefone,ABERTA
4,2,2025-01-09,WhatsApp,FECHADA
5,9,2025-01-11,Indicação,FECHADA
6,5,2025-01-13,E-mail,FECHADA
7,6,2025-01-15,WhatsApp,FECHADA
8,10,2025-01-18,Visita Técnica,FECHADA
9,4,2025-01-20,Indicação,FECHADA
10,8,2025-01-22,E-mail,ABERTA
11,1,2025-02-01,WhatsApp,FECHADA
12,3,2025-02-03,Visita Técnica,FECHADA
13,7,2025-02-04,WhatsApp,FECHADA
14,2,2025-02-07,E-mail,FECHADA
15,9,2025-02-08,Telefone,FECHADA
16,5,2025-02-11,E-mail,ABERTA
17,6,2025-02-13,WhatsApp,FECHADA
18,10,2025-02-15,Indicação,FECHADA
19,4,2025-02-18,WhatsApp,FECHADA
20,8,2025-02-20,E-mail,CANCELADA
21,1,2025-03-02,WhatsApp,FECHADA
22,3,2025-03-04,E-mail,FECHADA
23,7,2025-03-05,Telefone,FECHADA
24,2,2025-03-08,WhatsApp,FECHADA
25,9,2025-03-10,Indicação,FECHADA
26,5,2025-03-13,E-mail,FECHADA
27,6,2025-03-14,WhatsApp,ABERTA
28,10,2025-03-16,Visita Técnica,FECHADA
29,4,2025-03-19,Indicação,FECHADA
30,8,2025-03-21,Telefone,FECHADA
31,1,2025-04-02,WhatsApp,FECHADA
32,3,2025-04-03,E-mail,ABERTA
33,7,2025-04-05,Indicação,FECHADA
34,2,2025-04-08,WhatsApp,FECHADA
35,9,2025-04-10,E-mail,FECHADA
36,5,2025-04-12,Indicação,FECHADA
37,6,2025-04-14,WhatsApp,FECHADA
38,10,2025-04-17,Visita Técnica,FECHADA
39,4,2025-04-19,E-mail,FECHADA
40,8,2025-04-22,Telefone,FECHADA
41,1,2025-05-03,WhatsApp,FECHADA
42,3,2025-05-04,Telefone,FECHADA
43,7,2025-05-06,Indicação,FECHADA
44,2,2025-05-08,WhatsApp,FECHADA
45,9,2025-05-11,E-mail,CANCELADA
46,5,2025-05-13,Visita Técnica,FECHADA
47,6,2025-05-15,WhatsApp,FECHADA
48,10,2025-05-18,E-mail,ABERTA
49,4,2025-05-21,Indicação,FECHADA
50,8,2025-05-27,WhatsApp,FECHADA
